what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494872416059
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494872430893
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872431009
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872433510
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872435141
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872435164
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494872439749
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494872442035
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494872500683
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494872510313
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872518837
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872522319
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872551041
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872551063
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872564641
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872564641
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872668412
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872670297
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872671650
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494872675812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494872675833
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872675996
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872676012
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872754405
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872770505
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872780740
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872788254
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872799236
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872878647
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872885279
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494872997487
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873002171
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873141269
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1494873148220
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494873176945
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494873176976
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494873253159
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873265925
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873265956
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873266126
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873272588
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494873272640
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494873272671
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873314161
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873314198
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494873314299
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494873325826
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494873325826
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494873357386
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494873369600
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494873378296
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873388566
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873456861
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873462654
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873462736
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1494873468445
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873498237
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873550989
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494873552254
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494873581447
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873609634
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873654543
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1494873657556
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873674828
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873684487
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873687546
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873763326
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873768303
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873812917
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1494873828066
started,bundle,org.eclipse.gmf.xpand.migration,1.0.0.v20090608-0720,"org.eclipse.gmf.xpand.migration",1494873845253
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1494873859313
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494873866169
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494873866215
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1494873872099
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873878239
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873896417
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494873899690
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1494873901747
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873905318
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873945213
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873946990
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873947101
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873958930
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873977576
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873977629
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873977877
started,bundle,org.eclipse.emf.converter,2.5.0.v200906151043,"org.eclipse.emf.converter",1494873977877
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494873979892
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873984420
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873987167
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873988606
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494873988698
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1494874004289
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494874007091
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494874008393
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1494874008401
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1494874008401
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494874018931
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494874237306
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494874237357
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494874237569
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1494874242572
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494874244676
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1494874254663
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494874264575
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494874280018
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494874280070
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494874280269
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494874286785
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494874307083
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494874307436
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494874310408
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1494874323725
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494874336241
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494874350061
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1494874351570
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1494874351777
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494874351894
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1494874358342
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494874367811
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494874370477
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494874416635
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1494874422101
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494874434450
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494874434488
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494874445911
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494874445911
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494874447042
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494874448765
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494874469754
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494874475805
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494874481144
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494874482699
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494874484248
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494874485028
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494874487068
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494874487722
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494874491459
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494874492443
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494874588493
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494874679636
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494874680285
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494874840181
started,bundle,org.eclipse.pde.api.tools,1.0.100.v20090526,"org.eclipse.pde.api.tools",1494875019044
started,bundle,org.eclipse.pde.api.tools.ui,1.0.100.v20090526,"org.eclipse.pde.api.tools.ui",1494875019046
