what,kind,bundleId,bundleVersion,description,time
started,bundle,utn.frsf.cidisi.idemia.diagram,1.0.0.201011251812,"utn.frsf.cidisi.idemia.diagram",1494360631927
started,bundle,utn.frsf.cidisi.idemia.edit,1.0.0,"utn.frsf.cidisi.idemia.edit",1494360631927
os,sysinfo,,,"win32",1494360631927
arch,sysinfo,,,"x86",1494360631927
ws,sysinfo,,,"win32",1494360631927
locale,sysinfo,,,"es_ES",1494360631927
processors,sysinfo,,,"4",1494360631927
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1494360631927
java.runtime.version,sysinfo,,,"1.8.0_121-b13",1494360631927
java.specification.name,sysinfo,,,"Java Platform API Specification",1494360631927
java.specification.vendor,sysinfo,,,"Oracle Corporation",1494360631927
java.specification.version,sysinfo,,,"1.8",1494360631927
java.vendor,sysinfo,,,"Oracle Corporation",1494360631927
java.version,sysinfo,,,"1.8.0_121",1494360631927
java.vm.info,sysinfo,,,"mixed mode",1494360631927
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1494360631927
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1494360631927
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1494360631927
java.vm.specification.version,sysinfo,,,"1.8",1494360631927
java.vm.vendor,sysinfo,,,"Oracle Corporation",1494360631927
java.vm.version,sysinfo,,,"25.121-b13",1494360631927
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1494360632224
started,bundle,org.eclipse.emf.mint,0.8.0.v200906161513,"org.eclipse.emf.mint",1494360632428
started,bundle,org.eclipse.emf.mint.ui,0.8.0.v200906161513,"org.eclipse.emf.mint.ui",1494360632428
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1494360632459
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1494360632506
