what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1494274371759
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494274372874
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494274393002
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494274393276
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494274461899
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1494274469786
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494274472236
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494274479566
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1494274479582
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494274484953
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494274608347
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.project.properties",1494274608348
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494274687329
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494274694990
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494274762269
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275585192
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494275585556
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494275585694
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deletePreviousWord",1494275605450
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deletePreviousWord",1494275605618
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1494275635886
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494275637807
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275638438
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275641207
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275661785
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275664754
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1494275664770
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1494275672708
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494275674642
started,bundle,org.eclipse.pde.api.tools,1.0.100.v20090526,"org.eclipse.pde.api.tools",1494275679458
started,bundle,org.eclipse.pde.api.tools.ui,1.0.100.v20090526,"org.eclipse.pde.api.tools.ui",1494275679458
started,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1494275679474
started,bundle,org.eclipse.mylyn.pde.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.pde.ui",1494275679527
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deletePreviousWord",1494275682828
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deletePreviousWord",1494275684627
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275690313
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275690444
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275692844
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275694514
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275696128
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275697512
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1494275697775
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1494275697959
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1494275698112
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1494275698259
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1494275698412
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1494275698574
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1494275698727
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1494275699011
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275706191
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275706292
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275717140
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275725194
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275728491
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275732293
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275735293
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275877887
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deletePreviousWord",1494275880586
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275883722
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275888924
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275889630
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275890915
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275890932
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275891672
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494275893502
