what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278156368
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278157555
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1494278169967
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494278170488
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278171453
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278174304
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494278175724
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494278179424
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278184538
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278189678
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278193129
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278194192
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278195513
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278197690
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278198727
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278201391
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deletePreviousWord",1494278201858
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deletePreviousWord",1494278202074
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deletePreviousWord",1494278202442
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278202959
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278203610
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278203991
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278205727
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278212939
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278214822
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278216983
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278222235
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278222819
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278231903
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278252862
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278253317
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deletePreviousWord",1494278254582
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278257702
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278262564
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278263963
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278265133
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278269400
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278290182
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278294290
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278296393
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278299657
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278300657
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278302056
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278302875
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278305994
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278306626
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1494278354492
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278368837
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278370690
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278383205
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278393937
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deletePreviousWord",1494278404947
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deletePreviousWord",1494278405131
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deletePreviousWord",1494278417629
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278419860
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494278435329
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494278455612
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494278457974
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494278463866
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deleteNextWord",1494278466838
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deleteNextWord",1494278467022
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deleteNextWord",1494278467237
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.deletePreviousWord",1494278470451
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1494278472436
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494278473506
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineStart",1494278491551
